# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
608.0000 M19 580040 1 51.0000 p95 p187 299 N p95->p187
873.0000 M18 640222 3 350.0000 p95 p6 294 N p95->p187->p116->p6
946.0000 M27 707738 2 161.0000 p143 p137 297 N p143->p38->p137
1049.0000 M13 693107 2 670.0000 p26 p201 288 N p26->p166->p201
1317.0000 M37 737538 1 225.0000 p184 p96 296 N p184->p96
1644.0000 M21 519301 1 1035.0000 p84 p138 282 N p84->p138
2167.0000 M26 546679 2 1410.0000 p31 p227 276 N p31->p231->p227
2178.0000 M55 942166 2 540.0000 p209 p235 291 N p209->p157->p235
2486.0000 M79 884910 1 132.0000 p106 p138 297 N p106->p138
2653.0000 M64 679024 2 746.0000 p148 p154 287 N p148->p6->p154
2682.0000 M29 639593 3 1830.0000 p196 p151 269 N p196->p141->p207->p151
3551.0000 M49 631448 3 2091.0000 p14 p139 265 N p14->p69->p66->p139
3669.0000 M117 588091 3 183.0000 p118 p71 296 N p118->p82->p87->p71
4020.0000 M77 598670 3 1730.0000 p177 p202 271 N p177->p191->p20->p202
4404.0000 M134 934226 3 421.0000 p240 p49 292 N p240->p83->p190->p49
4525.0000 M16 875016 2 4061.0000 p136 p108 232 N p136->p76->p108
4906.0000 M138 650867 1 808.0000 p107 p89 286 N p107->p89
4930.0000 M113 667772 1 1558.0000 p89 p129 274 N p89->p129
5179.0000 M54 560634 3 3573.0000 p69 p213 240 N p69->p143->p97->p213
5181.0000 M35 998232 1 4146.0000 p219 p83 230 N p219->p83
5342.0000 M67 922010 1 3352.0000 p140 p215 244 N p140->p215
5378.0000 M124 702195 3 1684.0000 p37 p183 271 N p37->p207->p17->p183
5392.0000 M61 640531 2 3574.0000 p225 p123 240 N p225->p15->p123
5673.0000 M136 846612 2 1633.0000 p120 p37 272 N p120->p123->p37
5864.0000 M46 702628 3 4486.0000 p127 p37 225 N p127->p193->p25->p37
5866.0000 M99 954668 2 2909.0000 p194 p106 251 N p194->p168->p106
5997.0000 M137 650680 2 1932.0000 p222 p64 267 N p222->p106->p64
6029.0000 M71 769870 2 3913.0000 p137 p243 234 N p137->p77->p243
6231.0000 M149 795095 2 1813.0000 p234 p210 269 N p234->p171->p210
6297.0000 M207 923599 2 146.0000 p155 p130 297 N p155->p159->p130
6354.0000 M59 720977 3 4595.0000 p56 p85 223 N p56->p130->p45->p85
6445.0000 M177 669688 1 1181.0000 p129 p4 280 N p129->p4
6457.0000 M36 612761 1 5397.0000 p77 p82 210 N p77->p82
6770.0000 M159 849092 3 2049.0000 p102 p101 265 N p102->p69->p177->p101
6781.0000 M50 675185 3 5293.0000 p57 p236 211 N p57->p191->p158->p236
6942.0000 M93 592981 2 4161.0000 p74 p8 230 N p74->p62->p8
6981.0000 M24 559729 2 6283.0000 p94 p54 195 N p94->p76->p54
7013.0000 M222 741424 2 422.0000 p206 p147 292 N p206->p3->p147
7044.0000 M110 839088 3 3764.0000 p89 p76 237 N p89->p4->p200->p76
7171.0000 M63 895682 1 5291.0000 p76 p127 211 N p76->p127
7288.0000 M179 767122 3 1962.0000 p86 p141 267 N p86->p74->p94->p141
7426.0000 M224 647560 2 771.0000 p11 p153 287 N p11->p215->p153
7429.0000 M68 649807 1 5412.0000 p49 p168 209 N p49->p168
7453.0000 M128 883370 3 3645.0000 p61 p115 239 N p61->p134->p193->p115
7485.0000 M230 918174 1 658.0000 p184 p220 289 N p184->p220
7653.0000 M126 898385 3 3895.0000 p34 p148 235 N p34->p193->p61->p148
8129.0000 M259 561706 1 430.0000 p125 p123 292 N p125->p123
8180.0000 M111 674532 3 4869.0000 p118 p120 218 N p118->p116->p51->p120
8197.0000 M245 569042 2 914.0000 p21 p179 284 N p21->p105->p179
8574.0000 M242 811543 1 1384.0000 p63 p247 276 N p63->p247
8732.0000 M202 769146 2 2727.0000 p9 p97 254 N p9->p19->p97
8775.0000 M130 856906 3 4910.0000 p153 p138 218 N p153->p197->p57->p138
8830.0000 M151 818481 3 4356.0000 p86 p146 227 N p86->p43->p17->p146
8942.0000 M226 990073 3 2230.0000 p188 p245 262 N p188->p142->p39->p245
9035.0000 M270 548566 3 1026.0000 p208 p248 282 N p208->p66->p44->p248
9090.0000 M118 787394 2 5573.0000 p8 p25 207 N p8->p240->p25
9093.0000 M157 589989 1 4435.0000 p2 p43 226 N p2->p43
9180.0000 M223 948504 2 2558.0000 p123 p193 257 N p123->p53->p193
9192.0000 M102 825032 3 6146.0000 p88 p16 197 N p88->p156->p28->p16
9205.0000 M268 563802 3 1255.0000 p115 p33 279 N p115->p223->p249->p33
9331.0000 M278 600747 1 1087.0000 p178 p201 281 N p178->p201
9440.0000 M192 803181 2 3731.0000 p146 p186 237 N p146->p55->p186
9491.0000 M297 779063 3 703.0000 p92 p114 288 N p92->p50->p119->p114
9698.0000 M62 745934 1 7851.0000 p162 p199 169 N p162->p199
9711.0000 M295 817782 2 988.0000 p149 p184 283 N p149->p51->p184
9907.0000 M299 574264 2 1055.0000 p143 p210 282 N p143->p158->p210
9980.0000 M168 716045 3 4993.0000 p88 p101 216 N p88->p181->p172->p101
10051.0000 M315 987675 2 717.0000 p55 p152 288 N p55->p186->p152
10091.0000 M307 904189 2 995.0000 p60 p229 283 N p60->p126->p229
10130.0000 M284 971618 3 1728.0000 p229 p117 271 N p229->p33->p221->p117
10327.0000 M143 715610 3 6088.0000 p110 p42 198 N p110->p27->p179->p42
10439.0000 M320 643757 2 970.0000 p177 p58 283 N p177->p72->p58
10749.0000 M337 798118 1 781.0000 p232 p161 286 N p232->p161
10751.0000 M316 874593 1 1388.0000 p110 p24 276 N p110->p24
10864.0000 M86 667043 3 8307.0000 p225 p164 161 N p225->p34->p183->p164
10923.0000 M75 838158 3 8692.0000 p6 p146 155 N p6->p249->p95->p146
10952.0000 M105 744700 2 7820.0000 p38 p21 169 N p38->p228->p21
10973.0000 M361 836580 2 302.0000 p165 p217 294 N p165->p200->p217
11054.0000 M114 785174 3 7653.0000 p114 p223 172 N p114->p50->p18->p223
11180.0000 M115 753632 3 7753.0000 p239 p182 170 N p239->p5->p159->p182
11300.0000 M331 930586 2 1498.0000 p90 p47 275 N p90->p92->p47
11533.0000 M309 799847 3 2378.0000 p92 p28 260 N p92->p89->p12->p28
11600.0000 M359 891657 2 991.0000 p51 p113 283 N p51->p166->p113
11758.0000 M336 506099 3 1817.0000 p55 p131 269 N p55->p216->p34->p131
11831.0000 M339 988060 2 1805.0000 p74 p14 269 N p74->p166->p14
11988.0000 M135 610314 2 7974.0000 p138 p124 167 N p138->p106->p124
12035.0000 M66 762094 3 10070.0000 p137 p10 132 N p137->p77->p204->p10
12085.0000 M279 668070 2 3816.0000 p119 p63 236 N p119->p64->p63
12113.0000 M240 508487 3 4981.0000 p115 p230 216 N p115->p223->p249->p230
12121.0000 M206 584973 2 5999.0000 p45 p234 200 N p45->p66->p234
12208.0000 M334 935333 2 2323.0000 p225 p82 261 N p225->p148->p82
12229.0000 M220 882837 1 5699.0000 p21 p188 205 N p21->p188
12252.0000 M401 864199 2 412.0000 p39 p245 293 N p39->p14->p245
12500.0000 M248 729761 1 5125.0000 p207 p134 214 N p207->p134
12629.0000 M266 872102 3 4739.0000 p30 p218 221 N p30->p35->p27->p218
12687.0000 M323 931173 3 3123.0000 p90 p79 247 N p90->p230->p92->p79
12703.0000 M319 598267 2 3263.0000 p210 p179 245 N p210->p211->p179
12840.0000 M362 638478 3 2137.0000 p36 p227 264 N p36->p53->p62->p227
12848.0000 M191 547102 2 7169.0000 p82 p138 180 N p82->p77->p138
13008.0000 M288 997845 3 4487.0000 p187 p78 225 N p187->p61->p174->p78
13031.0000 M129 772566 3 9193.0000 p120 p175 146 N p120->p123->p43->p175
13054.0000 M262 924477 2 5272.0000 p230 p48 212 N p230->p108->p48
13055.0000 M239 580423 2 5957.0000 p87 p109 200 N p87->p205->p109
13122.0000 M354 872250 1 2662.0000 p43 p247 255 N p43->p247
13243.0000 M304 941440 1 4237.0000 p41 p31 229 N p41->p31
13287.0000 M257 731000 2 5647.0000 p70 p117 205 N p70->p224->p117
13357.0000 M442 946274 2 288.0000 p21 p26 295 N p21->p180->p26
13445.0000 M352 512686 3 3046.0000 p25 p137 249 N p25->p37->p237->p137
13447.0000 M446 793337 1 255.0000 p143 p87 295 N p143->p87
13587.0000 M293 803939 1 4920.0000 p42 p68 218 N p42->p68
13661.0000 M340 848815 3 3606.0000 p141 p224 239 N p141->p193->p52->p224
13819.0000 M187 827135 1 8267.0000 p24 p242 162 N p24->p242
13839.0000 M258 703695 3 6171.0000 p165 p144 197 N p165->p173->p34->p144
13873.0000 M467 790149 1 85.0000 p205 p2 298 N p205->p2
14087.0000 M274 520510 1 5967.0000 p207 p58 200 N p207->p58
14158.0000 M371 668009 2 3203.0000 p91 p7 246 N p91->p232->p7
14400.0000 M285 613983 2 5965.0000 p199 p149 200 N p199->p244->p149
14427.0000 M347 679688 2 4167.0000 p99 p40 230 N p99->p33->p40
14442.0000 M398 857534 3 2688.0000 p76 p163 255 N p76->p118->p100->p163
14536.0000 M445 752581 2 1369.0000 p123 p6 277 N p123->p106->p6
14570.0000 M69 580609 3 12519.0000 p112 p164 91 N p112->p184->p87->p164
14640.0000 M372 750308 2 3658.0000 p196 p160 239 N p196->p145->p160
14666.0000 M424 845697 3 2136.0000 p60 p10 264 N p60->p227->p89->p10
14747.0000 M458 738870 1 1220.0000 p149 p225 279 N p149->p225
14805.0000 M175 750628 1 9601.0000 p220 p187 139 N p220->p187
14967.0000 M348 888064 1 4681.0000 p214 p12 221 N p214->p12
