# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1100.0000 M19 580040 2 543.0000 p95 p187 290 N p95->p225->p187
1166.0000 M13 693107 3 787.0000 p26 p201 286 N p26->p146->p126->p201
1356.0000 M34 844772 3 349.0000 p158 p198 294 N p158->p136->p141->p198
1506.0000 M41 838158 1 290.0000 p141 p208 295 N p141->p208
1697.0000 M21 519301 6 1088.0000 p84 p138 281 N p84->p35->p34->p173->p99->p225->p138
1981.0000 M27 707738 4 1196.0000 p143 p137 280 N p143->p180->p59->p237->p137
2043.0000 M12 545086 3 1698.0000 p231 p82 271 N p231->p98->p63->p82
2046.0000 M11 562047 2 1726.0000 p155 p229 271 N p155->p53->p229
2326.0000 M23 555510 6 1657.0000 p207 p111 272 N p207->p123->p17->p234->p36->p186->p111
2370.0000 M7 612010 5 2167.0000 p225 p162 263 N p225->p222->p126->p108->p211->p162
2529.0000 M17 790517 3 2031.0000 p170 p91 266 N p170->p219->p205->p91
2598.0000 M49 631448 2 1138.0000 p14 p139 281 N p14->p148->p139
2748.0000 M10 863541 3 2457.0000 p244 p29 259 N p244->p188->p23->p29
2944.0000 M70 766484 1 861.0000 p146 p24 285 N p146->p24
2954.0000 M87 990325 1 369.0000 p58 p55 293 N p58->p55
2979.0000 M29 639593 3 2127.0000 p196 p151 264 N p196->p17->p32->p151
3034.0000 M20 773543 4 2452.0000 p14 p171 259 N p14->p231->p200->p189->p171
3051.0000 M24 559729 7 2353.0000 p94 p54 260 N p94->p21->p198->p59->p189->p158->p165->p54
3118.0000 M52 641881 6 1576.0000 p9 p196 273 N p9->p168->p111->p186->p148->p212->p196
3270.0000 M8 913877 4 3037.0000 p60 p165 249 N p60->p230->p187->p18->p165
3330.0000 M22 854050 6 2690.0000 p207 p144 255 N p207->p190->p29->p139->p107->p7->p144
3352.0000 M94 655764 1 540.0000 p48 p86 291 N p48->p86
3436.0000 M44 568074 4 2123.0000 p42 p17 264 N p42->p29->p139->p107->p17
3622.0000 M62 745934 3 1775.0000 p162 p199 270 N p162->p131->p5->p199
3651.0000 M16 875016 5 3187.0000 p136 p108 246 N p136->p168->p224->p45->p245->p108
3703.0000 M69 580609 2 1652.0000 p112 p164 272 N p112->p56->p164
3820.0000 M25 982211 4 3090.0000 p166 p89 248 N p166->p85->p131->p39->p89
3885.0000 M130 856906 1 20.0000 p153 p138 299 N p153->p138
4023.0000 M84 745447 1 1529.0000 p4 p83 274 N p4->p83
4038.0000 M60 686270 5 2245.0000 p92 p13 262 N p92->p113->p206->p86->p228->p13
4066.0000 M80 626408 3 1687.0000 p30 p245 271 N p30->p132->p152->p245
4116.0000 M26 546679 3 3359.0000 p31 p227 244 N p31->p66->p82->p227
4282.0000 M127 975887 1 499.0000 p61 p123 291 N p61->p123
